station_name,embayment,longitude,latitude,sample_date,dissolved oxygen,ph,water temp,time,chlorophyll-a
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.52,7.5755,28.8045,0:01:00,2.6136
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-1.0384,7.5566,28.7676,1:01:00,2.4442
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.9472,7.5881,28.7926,2:01:00,2.6257
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-1.1008,7.5566,28.7575,3:01:00,2.2264
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.9424,7.6007,28.8213,4:01:00,2.4079
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.616,7.6637,28.961,5:01:00,2.2022
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.0032,7.7708,29.1636,6:01:00,2.0933
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.2384,7.796,29.2887,7:01:00,2.2264
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.2624,7.8149,29.3932,8:01:00,2.3958
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.368,7.8275,29.6211,9:01:00,2.3232
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.1376,7.7771,29.848,10:01:00,2.2627
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.08,7.7078,30.1049,11:01:00,2.3232
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.4816,7.6511,30.1157,12:01:00,1.9844
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.2368,7.6133,29.7748,13:01:00,2.6136
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.1216,7.5944,29.7422,14:01:00,2.6862
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.2704,7.5818,29.6423,15:01:00,3.2186
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.464,7.6511,29.6111,16:01:00,3.63
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,1.112,7.6763,29.7162,17:01:00,4.6706
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.8528,7.6448,29.7115,18:01:00,4.0414
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.0032,7.6133,29.7399,20:01:00,4.0777
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.0944,7.6259,29.5948,21:01:00,3.7026
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,0.128,7.607,29.578,22:01:00,3.9325
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-11,-0.2608,7.544,29.5932,23:01:00,3.9688
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.3952,7.544,29.5151,0:01:00,3.3759
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.6304,7.5314,29.5263,1:01:00,3.6058
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.8992,7.5251,29.4918,2:01:00,3.0734
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.8608,7.544,29.332,3:01:00,3.0492
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.808,7.5377,29.2971,4:01:00,3.0734
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.8368,7.607,29.3772,5:01:00,3.0976
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,-0.0304,7.67,29.4574,6:01:00,2.5047
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.0896,7.7393,29.5217,7:01:00,2.2264
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.224,7.7582,29.6165,8:01:00,2.7104
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,1.0736,7.8149,29.807,9:01:00,2.299
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.6128,7.7519,30.0197,10:01:00,2.6136
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,1.0448,7.8149,30.3176,11:01:00,2.6862
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.7616,7.6826,30.4448,12:01:00,2.4442
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.5888,7.67,30.1853,13:01:00,2.7709
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,0.6032,7.67,30.4018,14:01:00,3.0371
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,2.0336,7.733,30.4821,15:01:00,4.0414
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,2.6864,7.7708,30.3467,16:01:00,5.4934
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,6.2384,7.9724,30.3203,17:01:00,9.0024
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,5.7344,7.9787,30.2307,18:01:00,9.1355
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,6.68,8.0102,30.2448,19:01:00,8.8814
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,5.0336,7.9283,30.2025,20:01:00,7.5383
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,3.5216,7.9094,30.2269,21:01:00,6.1952
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,4.0976,7.9535,30.2228,22:01:00,6.7155
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-12,3.3152,7.9157,30.1453,23:01:00,6.1105
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-13,3.7328,7.9031,30.1177,0:01:00,6.9696
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-13,3.4544,7.9346,30.1439,1:01:00,6.8728
CCMS_BML,Bolinao,119.9252,16.38712,2022-08-13,3.3392,7.8968,30.1186,2:01:00,6.6308
